source,target,prediction,pred_tensor
DefinedAs obesity will,next American,next american,"[2, 1889, 2296]"
UsedFor mouse,surf,inter act,"[2, 541, 375]"
shut those roads in the forest service,the winter,the time,"[2, 119, 499]"
AtLocation storage pan,garage,cabinet,"[2, 1532, 3]"
AtLocation menu,in restaurant,resturant,"[2, 4030, 3]"
ReceivesAction one object,attached to,make from,"[2, 325, 366]"
UsedFor take bus,ride to,travel,"[2, 734, 3]"
could be the buy ers,foreign concerns,a able,"[2, 62, 126]"
HasFirstSubevent jog,stretch,put on,"[2, 653, 94]"
IsA swim and walk,common mode,both mean,"[2, 984, 1304]"
