source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,the,"[2, 153, 3]"
th thank,flo,a,"[2, 69, 3]"
th icult ㅕ ep,multi Z chr,in,"[2, 128, 3]"
ma language Z inv,story pipe Z inv,anti,"[2, 2572, 3]"
th Z convers inn,ague convers pable beaches,the,"[2, 153, 3]"
ca ade shoot,eas,a,"[2, 69, 3]"
th Z ying,ist Z passe DefinedAs,a,"[2, 69, 3]"
vote ^ * help,he rop bre ^ * help,an way to to for the the,"[2, 137, 427, 159, 159, 210, 153, 153, 3]"
x “ usually zoo,“ stall,a,"[2, 69, 3]"
ou because mark,selves,caused,"[2, 5280, 3]"
