source,target,prediction,pred_tensor
CapableOf person,jump over p ud dle,greatly Ron medic england term who bladder ers cand dem scientific report greatly aware killed dirty especially satellite budget mid charge wheat greatly seating concer alike billiards language sensation charge charge Halloween concer singing ations dirty perform holland ico aware term bladder ved them especially who delicious who term work notes esophageal frustration mid aked ug squ ologic esophageal mates find england adolescents design,"[6723, 5454, 2271, 2935, 1503, 863, 2953, 328, 1034, 2603, 6915, 2052, 6723, 6892, 5320, 1482, 7355, 5035, 7082, 1489, 2441, 3400, 6723, 4524, 820, 5826, 5316, 1474, 7147, 2441, 2441, 7294, 820, 2642, 731, 1482, 1139, 6494, 3070, 6892, 1503, 2953, 995, 514, 7355, 863, 7098, 863, 1503, 371, 3569, 7354, 2886, 1489, 4019, 570, 2175, 5025, 7354, 4898, 407, 2935, 7271, 1678]"
IsA hot and cold,measure of ther mal activity,greatly venus stockpile bowling chief conditions notes concer aw satellite button discover dirty squ research cens bookstore yellow care rains ms polo poplar butter greatly smile iological notes cry weather cheese esophageal smile organ greatly false hurt lovel ex icle cess approach him charge locker taxes them greatly ft screening notes solid sych songs solid sensation known ber term gener steal ave locker approach,"[6723, 5021, 6715, 6736, 4591, 4986, 3569, 820, 2149, 5035, 4121, 1840, 1482, 2175, 3048, 5500, 4792, 2488, 851, 6443, 2532, 6429, 6161, 1980, 6723, 1838, 4412, 3569, 1746, 1829, 3167, 7354, 1838, 920, 6723, 2500, 1078, 4753, 223, 1221, 813, 6969, 2023, 2441, 5086, 5115, 514, 6723, 1036, 4166, 3569, 3619, 2104, 6732, 3619, 7147, 2849, 350, 1503, 1679, 2653, 887, 5086, 6969]"
Causes playing games,fatig ue,hire figure stain sold approach bliss butter insane me broad yarn mates charge get mid rains mates rolling greatly recreation concer charge loyal who community greatly sensation ther songs ine greatly head find Gover bliss product imaginary concer celer term discover mid alth be ledge mil bare school dog aw charge sych fine who charge advantage tra emit school mid mid who charge concer,"[3789, 3714, 3437, 4469, 6969, 6297, 1980, 6605, 286, 2508, 3402, 4898, 2441, 214, 1489, 6443, 4898, 6760, 6723, 3874, 820, 2441, 7237, 863, 4115, 6723, 7147, 290, 6732, 273, 6723, 802, 407, 5424, 6297, 1152, 5094, 820, 5930, 1503, 1840, 1489, 513, 112, 1053, 1327, 5484, 597, 548, 2149, 2441, 2104, 2598, 863, 2441, 2124, 338, 6226, 597, 1489, 1489, 863, 2441, 820]"
ReceivesAction che ers,set in Bo ston,charge fire term mid dirty who ying protect me sat By shine comm,"[2441, 568, 1503, 1489, 1482, 863, 1635, 1860, 286, 1260, 226, 2583, 425, 3]"
UsedFor take bus,poor person,sis outlook term moder be grind discover denote responsib greatly gardening aw term ivesAction outlook today mates whale ug moder decide wheat stress butter dirty elimin sensation venus reflect lower greatly function pathogen mid dirty denote greatly bladder greatly greatly greatly satellite him concer route dirty charge sole greatly $ term imag stockpile zing greatly ther medical charge clogging product squ improved charge concer,"[2038, 6127, 1503, 2824, 112, 1833, 1840, 6630, 3284, 6723, 6543, 2149, 1503, 246, 6127, 2569, 4898, 1713, 570, 2824, 1370, 3400, 1766, 1980, 1482, 4607, 7147, 5021, 5064, 2422, 6723, 2404, 6877, 1489, 1482, 6630, 6723, 2953, 6723, 6723, 6723, 5035, 2023, 820, 4298, 1482, 2441, 6458, 6723, 6, 1503, 1574, 6715, 5708, 6723, 290, 2426, 2441, 6242, 1152, 2175, 6584, 2441, 820]"
AtLocation french restaurant,many city,military wheat discover notes be distinctive Green term greatly il ex polo medic scur gain gym discover Gover climb skeleton firewood product ex complete aw destination contract shine term charge after venus decide concer who When skeleton instability greatly govern water ex product songs pan who cheese who aw prisoner sych poor diana mer aw be fridge language mid truth intake me iological syndr,"[1989, 3400, 1840, 3569, 112, 7270, 5426, 1503, 6723, 160, 223, 6429, 2271, 6194, 973, 2260, 1840, 5424, 1472, 7198, 4881, 1152, 223, 3234, 2149, 3264, 2225, 2583, 1503, 2441, 1245, 5021, 1370, 820, 863, 5314, 7198, 5062, 6723, 1201, 394, 223, 1152, 6732, 1631, 863, 3167, 863, 2149, 6744, 2104, 2609, 6097, 1326, 2149, 112, 3941, 1474, 1489, 1247, 5714, 286, 4412, 6835]"
HasLastSubevent find lose item,give it to owner,see hire term pen concer gon delicious greatly restaurant term who shine places favor leaders greatly ex who squ Ron charge ginia large dirty charge scur who releasing pebble roll ocent venus ave By ug comes term greatly useful another greatly cal fash squ surface ex figure butter charge term spaces decide protective bought sensation skeleton function discover gym mell squ elimin school decide,"[384, 3789, 1503, 480, 820, 2983, 7098, 6723, 559, 1503, 863, 2583, 3707, 2948, 6638, 6723, 223, 863, 2175, 5454, 2441, 5318, 708, 1482, 2441, 6194, 863, 5017, 3475, 1566, 4583, 5021, 887, 226, 570, 3483, 1503, 6723, 1819, 665, 6723, 650, 5529, 2175, 2128, 223, 3714, 1980, 2441, 1503, 4953, 1370, 5136, 3341, 7147, 7198, 2404, 1840, 2260, 2536, 2175, 4607, 597, 1370]"
NotDesires person,angry parent,frustration deck kill result who swallow backyard favorite oit ber usage comm seats ug shine val bookstore alth existing ug greatly charge jam perform takes izes establ singing charge charge chief get management find ethical im diving ex term clearly immed ved discover alike who central who be product sych concer frustration sn discover button notes yes esophageal mates curiosity shape squ pencil,"[2886, 2, 3968, 729, 1991, 863, 6364, 6489, 3315, 5610, 350, 6065, 425, 4975, 570, 2583, 1088, 4792, 513, 6965, 570, 6723, 2441, 2992, 1139, 6044, 6337, 4063, 2642, 2441, 2441, 4591, 214, 2002, 407, 5121, 192, 4376, 223, 1503, 6718, 4627, 995, 1840, 5826, 863, 2688, 863, 112, 1152, 2104, 820, 2886, 752, 1840, 4121, 3569, 5700, 7354, 4898, 7395, 1822, 2175, 1414]"
DefinedAs bulb,seed of some plant,ber associate concer cheese situations who bladder alth charge beer who esophageal forced frustration expl known gl buildings iological ually greatly cells pencil hire Star yes aw head cheese ex excercise hire medical excavation wheat result each associate greatly greatly gym mid concer sole false ames su locker shine conditions term broke egg variable aw fine squ hire term lif find va factors Halloween,"[350, 3628, 820, 3167, 7036, 863, 2953, 513, 2441, 1066, 863, 7354, 4612, 2886, 1048, 2849, 453, 2649, 4412, 1553, 6723, 2118, 1414, 3789, 5462, 5700, 2149, 802, 3167, 223, 5338, 3789, 2426, 5339, 3400, 1991, 1379, 3628, 6723, 6723, 2260, 1489, 820, 6458, 2500, 1915, 257, 5086, 2583, 4986, 1503, 4155, 1880, 7273, 2149, 2598, 2175, 3789, 1503, 4683, 407, 3395, 2664, 7294]"
AtLocation a baritone,a singing group,fine ug discover chief task ginia scur On charge ier term charge term cheese easy dirty L satellite pay research songs cells govern val aust greatly be term 50 mid find sensation esophageal tear alpha england charge concer moder term language notes tra dirty ug notes cand understandably charge water protest push charge ombo aw by fash nutritional ex analyze find charge sole notes,"[2598, 570, 1840, 4591, 2761, 5318, 6194, 5445, 2441, 1484, 1503, 2441, 1503, 3167, 2689, 1482, 43, 5035, 604, 3048, 6732, 2118, 1201, 1088, 5477, 6723, 112, 1503, 3328, 1489, 407, 7147, 7354, 1921, 3725, 2935, 2441, 820, 2824, 1503, 1474, 3569, 338, 1482, 570, 3569, 1034, 6678, 2441, 394, 3959, 2869, 2441, 4566, 2149, 347, 5529, 5284, 223, 5242, 407, 2441, 6458, 3569]"
