source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,a,"[2, 69, 3]"
th thank,flo,surprise,"[2, 2419, 3]"
th icult ㅕ ep,multi Z chr,the to,"[2, 153, 159, 3]"
ma language Z inv,story pipe Z inv,the father,"[2, 153, 2322, 3]"
th Z convers inn,ague convers pable beaches,the integrity,"[2, 153, 12251, 3]"
ca ade shoot,eas,a,"[2, 69, 3]"
th Z ying,ist Z passe DefinedAs,a work,"[2, 69, 395, 3]"
vote ^ * help,he rop bre ^ * help,the to to federal achieved to the to to the,"[2, 153, 159, 159, 4529, 12135, 159, 153, 159, 159, 153, 3]"
x “ usually zoo,“ stall,world,"[2, 711, 3]"
ou because mark,selves,build by thomas,"[2, 641, 378, 6621, 3]"
