source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,the,"[2, 153, 3]"
th thank,flo,a,"[2, 69, 3]"
th icult ㅕ ep,multi Z chr,the,"[2, 153, 3]"
ma language Z inv,story pipe Z inv,the,"[2, 153, 3]"
th Z convers inn,ague convers pable beaches,knit,"[2, 3001, 3]"
ca ade shoot,eas,the,"[2, 153, 3]"
th Z ying,ist Z passe DefinedAs,a software,"[2, 69, 2020, 3]"
IsA vote ^ * help,he rop bre ^ * help,a burgoise,"[2, 69, 17525, 3]"
glasses coming powder x “ usually zoo,“ stall,in clinical most,"[2, 128, 2500, 592, 3]"
ou because mark,selves,the,"[2, 153, 3]"
