source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,QUANT_O_1,"[2, 687, 3]"
th thank,flo,a,"[2, 69, 3]"
th icult ㅕ ep,multi Z chr,the,"[2, 153, 3]"
ma language Z inv,story pipe Z inv,a,"[2, 69, 3]"
th Z convers inn,ague convers pable beaches,the,"[2, 153, 3]"
ca ade shoot,eas,sport,"[2, 562, 3]"
th Z ying,ist Z passe DefinedAs,in,"[2, 128, 3]"
vote ^ * help,he rop bre ^ * help,a,"[2, 69, 3]"
x “ usually zoo,“ stall,the,"[2, 153, 3]"
ou because mark,selves,make,"[2, 353, 3]"
