source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,a,"[2, 69, 3]"
th thank,flo,good,"[2, 368, 3]"
th icult ㅕ ep,multi Z chr,the the .,"[2, 153, 153, 18, 3]"
ma language Z inv,story pipe Z inv,the of,"[2, 153, 172, 3]"
th Z convers inn,ague convers pable beaches,the,"[2, 153, 3]"
ca ade shoot,eas,a,"[2, 69, 3]"
th Z ying,ist Z passe DefinedAs,a,"[2, 69, 3]"
vote ^ * help,he rop bre ^ * help,a important of,"[2, 69, 1124, 172, 3]"
x “ usually zoo,“ stall,a of,"[2, 69, 172, 3]"
ou because mark,selves,use,"[2, 352, 3]"
