197473	197473	DefinedAs	wednesday	day immediately after tuesday	2.321928094887362
 86463	 86463	AtLocation	a beanbag	a child's bedroom	1.5849625007211563
29251665	The high financial burden , treatment failures and therapeutic side effects of immunotherapies have prompted a search for biomarkers beyond PD - L1 expression , for example , tumor mutation load or immune cell profiling , that might more reliably identify patients that are likely to respond.	have prompted	The high financial burden , treatment failures and therapeutic side effects of immunotherapies	a search for biomarkers beyond PD - L1 expression , for example	1	1			
24170484	Implications for practice : Ethnic minorities are more likely to have worse control of their diabetes and more likely to receive all their care in the primary care setting , QI interventions targeting primary care providers have the potential to reduce disparities in diabetes care.	have	QI interventions	the potential to reduce disparities in diabetes care	1	1			
323306	323306	CapableOf	a double entendre	mean two things at once	1.5849625007211563
590407	590407	HasA	horse	leg	1.5849625007211563
 30127	 30127	HasSubevent	taking a break	sitting down	1.5849625007211563
 45841	 45841	DefinedAs	mammal	only animal that have hair	1.5849625007211563
285791	285791	HasPrerequisite	satisfy appetites with minimum effort	make someone feel important	1.5849625007211563
319980	319980	HasSubevent	all sand run down	time be up	1.5849625007211563
 31855	 31855	UsedFor	signing a contract	making it official	1.5849625007211563
219302	219302	HasPrerequisite	learn about the world	walk	1.5849625007211563
507420	507420	HasSubevent	have food	you count calorie	1.5849625007211563
198756	198756	HasPrerequisite	please your parents	buy them dinner	1.5849625007211563
395908	395908	HasA	night sky	stir people imagination since ancient time	1.5849625007211563
374595	374595	UsedFor	take bus	travel about town	1.5849625007211563
242736	242736	IsA	wrench	helpful tool	2.321928094887362
231949	231949	AtLocation	a brief case	a table	1.5849625007211563
337589	337589	IsA	all life itself	another form of love	1.5849625007211563
424158	424158	IsA	it	a place at a wedding	1.5849625007211563
376656	376656	UsedFor	a needle	piercing body parts	1.5849625007211563
484663	484663	AtLocation	someone	a rest stop	1.5849625007211563
347709	347709	HasLastSubevent	stab to death	make sure person be dead	1.5849625007211563
534983	534983	CapableOf	couple	make love	2.0
291977	291977	ReceivesAction	Oil of ginger	used on sensitive skin	1.5849625007211563
31640691	The purpose of this study is to construct an integrated model to analyze which social support has more significant impact on self - management of T2DM , and provide reasonable suggestions to health care providers on how to effectively play the role of social support.	is	The purpose of this study	to construct an integrated model	1	1			
211282	211282	IsA	Noddy Holder	a member of Slade	1.5849625007211563
212878	212878	UsedFor	nylon	panty hose	1.5849625007211563
347468	347468	Causes	cash in	stock market go down	1.5849625007211563
358379	358379	AtLocation	freezer	alcove off wrap-around porch	1.5849625007211563
127423	127423	ReceivesAction	auction	run by auctioneer	1.5849625007211563
178053	178053	IsA	Microsoft	a software company	2.321928094887362
396843	396843	MotivatedByGoal	sign contract	job	1.5849625007211563
236808	236808	UsedFor	invitations	invite others to a party	1.5849625007211563
310734	310734	AtLocation	a capital	each country	1.5849625007211563
502446	502446	CapableOf	queen	come from royal family	1.5849625007211563
 25913	 25913	ReceivesAction	dandruff shampoo	purchase at pharmacy	1.5849625007211563
401272	401272	HasPrerequisite	Talking	a mouth	2.321928094887362
529993	529993	HasPrerequisite	getting something	work	1.5849625007211563
 16148	 16148	CapableOf	kids	count on their fingers	1.5849625007211563
437663	437663	CapableOf	A marriage counselor	help ease family conflict	1.5849625007211563
461909	461909	NotDesires	person	be trick	2.584962500721156
 31243	 31243	PartOf	organ	body	2.321928094887362
589660	589660	CapableOf	cook	bone fish to cook	1.5849625007211563
322885	322885	IsA	north carolina	state	3.1699250014423126
117445	117445	UsedFor	forklift	use in factory	1.5849625007211563
 16267	British Airways also is a minority shareholder in Qantas , the Australian airline that has a strong route system in Asia , and in TAT European Airlines of France and Deutsche of Germany .	is of	TAT European Airlines	France	1	1			
