source,target,prediction,pred_tensor
DefinedAs obesity will,next American ep ide mic,reverse of of,"[2, 5330, 136, 136, 3]"
UsedFor mouse,surf,play,"[2, 279, 3]"
shut those roads in the forest service,the winter,the roads,"[2, 119, 6565, 3]"
AtLocation storage pan,garage,kitchen,"[2, 1373, 3]"
AtLocation menu,in restaurant,restaurant,"[2, 559, 3]"
ReceivesAction one object,attached to another,use by a,"[2, 156, 347, 62, 3]"
UsedFor take bus,ride to school,get,"[2, 214, 3]"
could be the buy ers,foreign concerns,a,"[2, 62, 3]"
HasFirstSubevent jog,stretch,put on,"[2, 653, 94, 3]"
IsA swim and walk,common mode of loc om ot ion,both exercise exercise,"[2, 984, 811, 811, 3]"
