0	CN	is a	music	form of communication	2.0
1	CN	motivated by goal	ride a bicycle	enjoy riding a bicycle	2.0
2	CN	receives action	car	propel by gasoline or electricity	2.0
3	CN	used for	an indian restaurant	selling indian meals	2.0
4	CN	capable of	mediators	settle a disagreemen	2.0
1	NCD	are closely correlated	these subtypes	to clinical variables	2.0
2	NCD	are opening up	Immune - based interventions	entirely novel therapeutic avenues	2.0
3	NCD	should reflect	glycemic targets	presence of comorbid conditions	2.0
4	NCD	may provide	these factors	an opportunity to reduce deaths	2.0
5	NCD	to have	Ethnic minorities	worse control of their diabetes	2.0
