source,target,prediction,pred_tensor
DefinedAs obesity will,next American ep ide mic,most of of,"[2, 609, 136, 136, 3]"
UsedFor mouse,surf,make,"[2, 325, 3]"
UsedFor a parking structure,providing parking for customers,park a,"[2, 965, 62, 3]"
HasLastSubevent sit quietly,speak,fall asleep,"[2, 682, 3029, 3]"
shut those roads in the forest service,the winter,the,"[2, 119, 3]"
AtLocation storage pan,garage,kitchen,"[2, 1373, 3]"
CapableOf something,fer ment,fall,"[2, 682, 3]"
UsedFor an airplane seat,sitting in,travel,"[2, 734, 3]"
AtLocation menu,in restaurant,restaurant,"[2, 559, 3]"
ReceivesAction one object,attached to another,use as weapon,"[2, 156, 96, 2695, 3]"
