source,target,prediction,pred_tensor
DefinedAs obesity will,next American ep ide mic,next of of of water,"[2, 1889, 136, 136, 136, 394, 3]"
UsedFor mouse,surf,inter fer computer,"[2, 541, 2331, 506, 3]"
CapableOf someone,sit,play a,"[2, 279, 62, 3]"
CapableOf lion c un,pur r much loud than cat,eat meat,"[2, 310, 1660, 3]"
UsedFor returning to work,ending a vacation,getting a,"[2, 607, 62, 3]"
MotivatedByGoal ride a bicycle,enjoy riding a bicycle,you like to ride,"[2, 149, 719, 123, 1208, 3]"
CapableOf a child,talk at an war ly age,wonder a parent,"[2, 3309, 62, 1590, 3]"
IsA it,fish,a,"[2, 62, 3]"
UsedFor a parking structure,providing parking for customers,providing a service,"[2, 5134, 62, 1957, 3]"
HasLastSubevent sit quietly,speak,shut your mouth,"[2, 2584, 198, 1433, 3]"
