source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,the,"[2, 153, 3]"
th thank,flo,the,"[2, 153, 3]"
ed he,ade,a,"[2, 69, 3]"
ed silver \ Capable,grow k liqu ada cor sy,the .,"[2, 153, 18, 3]"
th icult ㅕ ep,multi Z chr,the,"[2, 153, 3]"
ma language Z inv,story pipe Z inv,a,"[2, 69, 3]"
ed Z ple,ans { ã cur ight ires,QUANT_O_1,"[2, 687, 3]"
Has ø,ject,the biggest,"[2, 153, 7270, 3]"
th Z convers inn,ague convers pable beaches,two,"[2, 810, 3]"
ca ade shoot,eas,a,"[2, 69, 3]"
