source,target,prediction,pred_tensor
DefinedAs obesity will,next American ep ide mic,key of of of,"[2, 606, 136, 136, 136, 3]"
UsedFor mouse,surf,play,"[2, 279, 3]"
UsedFor a parking structure,providing parking for customers,park a car,"[2, 965, 62, 304, 3]"
HasLastSubevent sit quietly,speak,close your eye,"[2, 1120, 198, 826, 3]"
shut those roads in the forest service,the winter,the,"[2, 119, 3]"
AtLocation storage pan,garage,kitchen,"[2, 1373, 3]"
CapableOf something,fer ment,be,"[2, 112, 3]"
UsedFor an airplane seat,sitting in,travel,"[2, 734, 3]"
AtLocation menu,in restaurant,restaurant,"[2, 559, 3]"
ReceivesAction one object,attached to another,use,"[2, 156, 3]"
