source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,the,"[2, 153, 3]"
th thank,flo,thank,"[2, 2168, 3]"
th icult ㅕ ep,multi Z chr,the,"[2, 153, 3]"
ma language Z inv,story pipe Z inv,the,"[2, 153, 3]"
th Z convers inn,ague convers pable beaches,the,"[2, 153, 3]"
ca ade shoot,eas,a,"[2, 69, 3]"
th Z ying,ist Z passe DefinedAs,get,"[2, 245, 3]"
vote ^ * help,he rop bre ^ * help,the to to,"[2, 153, 159, 159, 3]"
x “ usually zoo,“ stall,a of,"[2, 69, 172, 3]"
ou because mark,selves,locate,"[2, 3931, 3]"
