source,target,prediction,pred_tensor
CapableOf person,jump over p ud dle,[EMPTY] [3],[3]
IsA hot and cold,measure of ther mal activity,[EMPTY] [3],[3]
AtLocation something,end of it life,[EMPTY] [3],[3]
Desires pay cash be for person who,avoid pay interest,[EMPTY] [3],[3]
UsedFor a desk,putting your computer on it,[EMPTY] [3],[3]
DefinedAs bon te bo k,D am al is cus py gar us dor cas,[EMPTY] [3],[3]
AtLocation people,at an airport,[EMPTY] [3],[3]
CapableOf a girl,join the cho ir,[EMPTY] [3],[3]
Causes playing games,fatig ue,[EMPTY] [3],[3]
ReceivesAction che ers,set in Bo ston,[EMPTY] [3],[3]
