source,target,prediction,pred_tensor
DefinedAs obesity will,next American ep ide mic,most popular in,"[2, 609, 2447, 92, 3]"
UsedFor mouse,surf,computer,"[2, 506, 3]"
CapableOf someone,sit,go a,"[2, 209, 62, 3]"
CapableOf lion c un,pur r much loud than cat,be a,"[2, 112, 62, 3]"
UsedFor returning to work,ending a vacation,paying bill s,"[2, 2644, 1537, 80, 3]"
MotivatedByGoal ride a bicycle,enjoy riding a bicycle,you are to see somewhere,"[2, 149, 295, 123, 384, 1727, 3]"
CapableOf a child,talk at an war ly age,play a,"[2, 279, 62, 3]"
IsA it,fish,a,"[2, 62, 3]"
UsedFor a parking structure,providing parking for customers,parking cars,"[2, 1947, 2394, 3]"
HasLastSubevent sit quietly,speak,think,"[2, 856, 3]"
