source,target,prediction,pred_tensor
DefinedAs obesity will,next American ep ide mic,opposite of of,"[2, 3320, 136, 136, 3]"
UsedFor mouse,surf,hold,"[2, 582, 3]"
CapableOf someone,sit,play a,"[2, 279, 62, 3]"
CapableOf lion c un,pur r much loud than cat,live,"[2, 643, 3]"
UsedFor returning to work,ending a vacation,wage a,"[2, 2548, 62, 3]"
MotivatedByGoal ride a bicycle,enjoy riding a bicycle,you,"[2, 149, 3]"
CapableOf a child,talk at an war ly age,call a,"[2, 869, 62, 3]"
IsA it,fish,a,"[2, 62, 3]"
UsedFor a parking structure,providing parking for customers,park cars,"[2, 965, 2394, 3]"
HasLastSubevent sit quietly,speak,shut,"[2, 2584, 3]"
