source,target,prediction,pred_tensor
DefinedAs obesity will,next American ep ide mic,most important for to improve,"[2, 609, 990, 173, 123, 1248, 3]"
UsedFor mouse,surf,make,"[2, 325, 3]"
shut those roads in the forest service,the winter,the,"[2, 119, 3]"
AtLocation storage pan,garage,kitchen,"[2, 1373, 3]"
AtLocation menu,in restaurant,restaurant,"[2, 559, 3]"
ReceivesAction one object,attached to another,conne ct to be,"[2, 2592, 154, 123, 112, 3]"
UsedFor take bus,ride to school,travel,"[2, 734, 3]"
could be the buy ers,foreign concerns,a,"[2, 62, 3]"
HasFirstSubevent jog,stretch,put on your shoe,"[2, 653, 94, 198, 1681, 3]"
IsA swim and walk,common mode of loc om ot ion,both exercise,"[2, 984, 811, 3]"
