source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,the,"[2, 153, 3]"
th thank,flo,a,"[2, 69, 3]"
th icult ㅕ ep,multi Z chr,the,"[2, 153, 3]"
ma language Z inv,story pipe Z inv,QUANT_O_1,"[2, 687, 3]"
th Z convers inn,ague convers pable beaches,the,"[2, 153, 3]"
ca ade shoot,eas,a,"[2, 69, 3]"
th Z ying,ist Z passe DefinedAs,a,"[2, 69, 3]"
vote ^ * help,he rop bre ^ * help,that,"[2, 440, 3]"
x “ usually zoo,“ stall,build,"[2, 641, 3]"
ou because mark,selves,a,"[2, 69, 3]"
