source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,the,"[2, 153, 3]"
th thank,flo,a,"[2, 69, 3]"
th icult ㅕ ep,multi Z chr,the,"[2, 153, 3]"
ma language Z inv,story pipe Z inv,a,"[2, 69, 3]"
th Z convers inn,ague convers pable beaches,maintain,"[2, 1429, 3]"
ca ade shoot,eas,the,"[2, 153, 3]"
th Z ying,ist Z passe DefinedAs,a,"[2, 69, 3]"
vote ^ * help,he rop bre ^ * help,more,"[2, 524, 3]"
x “ usually zoo,“ stall,a,"[2, 69, 3]"
ou because mark,selves,male,"[2, 854, 3]"
